"","﻿obs","time","elapsed","date","hhmmss","averaging","TIME","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd.dt","αVc","Edyn","Hr","Hs","dHs.dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME.1","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","Q","f_red","f_blue","Tled","Pc","time.1","hhmmss.1","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","A.MN","A.SLP","A.SD","A.OK","ΔCO2.MN","ΔCO2.SLP","ΔCO2.SD","ΔCO2.OK","ΔH2O.MN","ΔH2O.SLP","ΔH2O.SD","ΔH2O.OK","gsw.MN","gsw.SLP","gsw.SD","gsw.OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_.","Desiccant_.","Humidifier_.","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r"
"1",1,1652751936,0,"20220517 09:45:36","9:45:36",2,1652751928,0.001859397,1.8593971,5.589868493,50.33630645,5,0.509844577,5.132738572,0.135664534,3.25563718,0.13260037,0.08314477,305.3982876,27.74523299,25,3.738842389,67.46260137,2.351679162,3.485900505,1.387163227,-81.99941211,-209.5690808,-13.91270252,-0.082907788,-0.691862891,1.854310173,-0.292976404,51.14868924,51.34499333,-0.002274184,89.12386144,1.8593971,21.97048374,23.06038559,-1.66e-06,105.3543778,0,0,1,0,53948.41014,1999.990323,1681.191796,0.840599966,0.152699883,3,0.5,"0: Broadleaf",2,TRUE,1652751928,50.33630645,49.9772,23.06270645,21.97580323,51.53256452,23.47736452,500.010871,101.8689677,0.09994761,26.55122903,28.01001613,999.9,0,0,10000.44129,774.804129,39.02675806,1999.990323,0.980001613,0.019998403,33,44861.07097,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,-0.957185357,5.035346409,0.51598041,0,0.509761073,-2.949209498,0.310274424,0,1.085277317,0.042817213,0.005187647,1,0.135009503,0.00655584,0.000753589,1,2,4,"2月4日,2.91019",2.67254,0.014738,0.0144942,0.111831,0.107143,26809.4,26219.2,26130.5,25642.4,36027.6,35861.1,41442.6,41229.3,1.98988,1.84177,0.0692979,0,100,100,-1.196,-0.4147,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1279.5,1279.5,0.263672,2.58423,1.60278,2.26318,1.50269,2.2876,35.5915,23.8511,19,531.08,503.96,24.7436,31.5904,30.0003,31.5173,31.5139,5.26588,31.7551,56.9637,24.7269,53.4086,22,100.648,98.4706,NA
"2",2,1652751938,2,"20220517 09:45:38","9:45:38",2,1652751930,0.001858232,1.858231609,7.963560867,50.27294483,7.521008403,0.766913185,5.126305165,0.135585172,3.254964626,0.132523931,0.08309674,305.3982469,27.74482785,25,3.738753918,67.46544982,2.351652094,3.485713207,1.387101824,-81.94801397,-209.6146961,-13.91851456,-0.082977753,-0.579686115,1.856768104,-0.290421802,51.11682243,51.31878606,-0.003264754,89.12386144,1.858231609,21.97104614,23.06034912,-6.18e-06,105.3543778,0,0,1,0,53930.19747,1999.990345,1681.19181,0.840599963,0.152699861,3,0.5,"0: Broadleaf",2,TRUE,1652751930,50.27294483,49.98113448,23.06231724,21.97392759,51.46907931,23.47698276,499.990069,101.8695517,0.099910824,26.55031724,28.01102069,999.9,0,0,9996.83,774.7666207,39.00927931,1999.990345,0.980001931,0.019998093,33,44861.07931,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,-0.943092201,4.917275761,0.517384682,0,0.466626725,-2.683670533,0.276540912,0,1.085524,0.043927205,0.005202043,1,0.135018127,0.006235398,0.000746337,1,2,4,"2月4日,2.9101",2.67259,0.014732,0.0144981,0.111826,0.107148,26809.5,26219.2,26130.5,25642.5,36027.7,35860.9,41442.6,41229.4,1.98978,1.84177,0.0683591,0,100,100,-1.196,-0.4147,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1279.5,1279.6,0.267334,2.58423,1.60278,2.26318,1.50391,2.27905,35.6148,23.8511,19,531.019,503.969,24.7391,31.5906,30.0004,31.5182,31.515,5.34713,31.7551,56.9637,24.7269,56.797,22,100.648,98.4708,NA
"3",3,1652751940,4,"20220517 09:45:40","9:45:40",2,1652751932,0.001855645,1.855645189,10.67540129,50.2312,10.04201681,1.023988083,5.122093616,0.135400979,3.25505668,0.132348032,0.082986082,305.3982783,27.74431462,25,3.738641846,67.46875902,2.351616074,3.485488852,1.387025772,-81.83395283,-209.7222336,-13.92514961,-0.083057718,-0.500212892,1.858012114,-0.309621835,51.10618822,51.30698667,-0.001488406,89.12386144,1.855645189,21.97248693,23.06027794,-6.01e-06,105.3543778,0,0,1,0,53932.93047,1999.990714,1681.192079,0.840599942,0.152699848,3,0.5,"0: Broadleaf",2,TRUE,1652751932,50.2312,49.98706429,23.06176071,21.97263571,51.42725357,23.47644286,499.9875357,101.8704643,0.099897093,26.549225,28.00885714,999.9,0,0,9997.226786,774.7321071,38.99519286,1999.990714,0.980002036,0.019997968,33,44861.1,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,-0.782857173,3.878694978,0.412685683,0,0.378630025,-2.109846293,0.219835807,0,1.08608825,0.035398537,0.004938513,1,0.135099682,0.005562566,0.000724579,1,2,4,"2月4日,2.91025",2.6729,0.0147323,0.0146217,0.111827,0.10714,26809.7,26215.9,26130.6,25642.5,36027.7,35861.4,41442.6,41229.5,1.9897,1.84165,0.0673607,0,100,100,-1.196,-0.4147,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1279.6,1279.6,0.272217,2.58301,1.60278,2.26196,1.50269,2.31445,35.6148,23.8598,19,530.974,503.89,24.731,31.592,30.0004,31.5189,31.5166,5.5038,31.7551,56.9637,24.7668,60.1549,22,100.648,98.4709,NA
"4",4,1652751942,6,"20220517 09:45:42","9:45:42",2,1652751934,0.001854993,1.854992519,13.59099142,50.19975556,12.56302521,1.281059081,5.118898646,0.135377355,3.255576399,0.132325936,0.082972139,305.3983644,27.74297333,25,3.738348965,67.47278984,2.351573968,3.485218225,1.386774996,-81.80517009,-209.7515595,-13.92468844,-0.08305369,-0.248008787,1.85873266,-0.352129314,51.33745966,51.36650727,0.025657153,89.12386144,1.854992519,21.97346063,23.06086324,-6.24e-06,105.3543778,0,0,1,0,53947.38375,1999.991111,1681.192434,0.840599953,0.152699861,3,0.5,"0: Broadleaf",2,TRUE,1652751934,50.19975556,50.10693333,23.0612963,21.97175556,51.39574074,23.4759963,499.9908148,101.8707037,0.099885385,26.54790741,28.00529259,999.9,0,0,9999.94963,774.705037,38.99270741,1999.991111,0.980001889,0.019998122,33,44861.1037,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,-0.453246452,4.155287003,0.482360696,0,0.179574566,-2.938819701,0.36708451,0,1.087583902,0.019318746,0.004079132,1,0.135360629,0.002968567,0.000573261,1,2,4,"2月4日,2.91036",2.67312,0.0147629,0.0150545,0.111827,0.107114,26808.8,26204.2,26130.6,25642.3,36027.5,35862.2,41442.4,41229.3,1.9898,1.84147,0.0673681,0,100,100,-1.196,-0.4147,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1279.6,1279.6,0.279541,2.58179,1.60278,2.26318,1.50391,2.29492,35.6148,23.8598,19,531.053,503.761,24.7279,31.5932,30.0003,31.5201,31.5166,5.60423,31.7551,56.9637,24.7668,63.512,22,100.648,98.4704,NA
"5",5,1652751944,8,"20220517 09:45:44","9:45:44",2,1652751936,0.001852195,1.85219456,15.89179544,50.20158462,15.08403361,1.538129937,5.119092289,0.135182025,3.255542583,0.132139268,0.082854718,305.3984974,27.74223499,25,3.73818775,67.47757237,2.351545071,3.484928381,1.386642679,-81.68178008,-209.8674845,-13.93237941,-0.083146588,0.402009233,1.860122259,-0.286662662,52.49410254,51.67506303,0.136517346,89.12386144,1.85219456,21.97475105,23.06045941,1.22e-06,105.3543778,0,0,1,0,53946.71622,1999.991538,1681.192833,0.840599973,0.152699895,3,0.5,"0: Broadleaf",2,TRUE,1652751936,50.20158462,50.49882692,23.06098077,21.97061538,51.39756154,23.47569231,499.9863462,101.8708462,0.099885015,26.54649615,28.00163462,999.9,0,0,9999.756923,774.6811538,38.99895769,1999.991538,0.980001462,0.019998558,33,44861.11154,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,-0.39255985,4.898822526,0.611809988,0,0.05371798,-4.326337667,0.583805765,0,1.088491463,0.017387456,0.003822656,1,0.135385826,0.003188484,0.000588226,1,2,4,"2月4日,2.91039",2.67309,0.0148779,0.0157792,0.111828,0.107098,26805.7,26184.9,26130.6,25642.2,36027.5,35862.6,41442.3,41229,1.99018,1.84125,0.0675023,0,100,100,-1.197,-0.4148,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1279.6,1279.7,0.285645,2.5769,1.60278,2.26196,1.50269,2.28638,35.6148,23.8598,19,531.318,503.603,24.7366,31.5934,30.0001,31.5209,31.5177,5.7343,31.7551,56.9637,24.7668,66.8738,22,100.648,98.4698,NA
"6",6,1652751946,10,"20220517 09:45:46","9:45:46",2,1652751938,0.001859459,1.859459006,17.64387882,50.289268,17.60504202,1.79519976,5.128035579,0.135788165,3.255304081,0.132718175,0.083218905,305.3985931,27.73926211,25,3.737538695,67.48232343,2.351524361,3.484652338,1.386014334,-82.00214217,-209.5662685,-13.91310169,-0.08291919,1.50336099,1.862077512,-0.122850282,54.8290336,52.42199939,0.340623284,89.12386144,1.859459006,21.97040605,23.06035941,3.27e-06,105.3543778,0,0,1,0,53940.43715,1999.9916,1681.192896,0.840599978,0.152699938,3,0.5,"0: Broadleaf",2,TRUE,1652751938,50.289268,51.2475,23.060768,21.969252,51.48542,23.475484,499.9844,101.87088,0.099893952,26.545152,27.996724,999.9,0,0,9998.4932,774.6526,39.010788,1999.9916,0.98000084,0.019999164,33,44861.1,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,0.105653654,10.76631391,1.466482844,0,-0.237658245,-8.14539772,1.058640674,0,1.09014275,0.016043415,0.003795448,1,0.135665425,0.003129968,0.000581478,1,2,4,"2月4日,2.91045",2.67301,0.0151095,0.0166163,0.111828,0.107092,26799.2,26162.6,26130.4,25642.2,36027.6,35862.8,41442.4,41228.9,1.99023,1.84125,0.0665486,0,100,100,-1.198,-0.4147,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1279.7,1279.7,0.291748,2.57446,1.60278,2.26196,1.50269,2.29858,35.638,23.8511,19,531.357,503.615,24.752,31.5946,30,31.5215,31.5191,5.87161,31.7551,56.9637,24.7825,70.2448,22,100.647,98.4696,NA
"7",7,1652751948,12,"20220517 09:45:48","9:45:48",2,1652751940,0.001872881,1.872880628,20.70472698,50.52755417,20.12605042,2.052269335,5.152334802,0.136884887,3.255466029,0.133765871,0.083877981,305.398722,27.73495054,25,3.736597546,67.48614563,2.351505986,3.48442775,1.38509156,-82.5940357,-209.0119246,-13.8752334,-0.082471697,3.062684474,1.864387225,-0.070230983,57.77657221,53.63291515,0.57447989,89.12386144,1.872880628,21.96274088,23.06059853,-4.6e-07,105.3543778,0,0,1,0,53945.0633,1999.991667,1681.193103,0.840600054,0.152699997,3,0.5,"0: Broadleaf",2,TRUE,1652751940,50.52755417,52.42175417,23.06058333,21.96770833,51.72417917,23.4753125,499.9821667,101.8709167,0.099877033,26.54405833,27.98842083,999.9,0,0,9999.345417,774.61775,39.02854583,1999.991667,0.98000025,0.019999821,33,44861.07083,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,0.929614099,21.14577165,2.682247615,0,-0.79960072,-15.07612824,1.816199295,0,1.0916445,0.026852308,0.004811266,1,0.135934472,0.004003209,0.000687462,1,2,4,"2月4日,2.91042",2.673,0.0154708,0.0174776,0.111827,0.107094,26789.2,26139.9,26130.3,25642.3,36027.4,35862.9,41442.2,41229.1,1.9901,1.84115,0.0662357,0,100,100,-1.201,-0.4147,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1279.7,1279.7,0.299072,2.57568,1.60278,2.26318,1.50269,2.27783,35.638,23.8511,19,531.283,503.544,24.7634,31.596,29.9999,31.5229,31.5194,6.01131,31.7551,56.9637,24.7825,73.6352,22,100.647,98.4701,NA
"8",8,1652751950,14,"20220517 09:45:50","9:45:50",2,1652751942,0.001881827,1.881826853,22.6517983,50.98541739,22.64705882,2.30933479,5.199014983,0.137635033,3.255775782,0.134482454,0.084328766,305.3989726,27.73134059,25,3.735809708,67.4919477,2.351514483,3.484140795,1.384295225,-82.98856423,-208.6434641,-13.84910864,-0.082164373,5.094360681,1.867445345,-0.21707496,60.87630154,55.25927394,0.789004586,89.12386144,1.881826853,21.95944028,23.06257353,-4.13e-06,105.3543778,0,0,1,0,53953.78232,1999.992609,1681.193929,0.840600071,0.152700051,3,0.5,"0: Broadleaf",2,TRUE,1652751942,50.98541739,54.09927826,23.06070435,21.96603478,52.18295217,23.47543478,499.9812174,101.8707391,0.099887939,26.54266087,27.97972174,999.9,0,0,10001,774.5808696,39.04958261,1999.992609,0.979999522,0.020000543,33,44861.06522,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,2.087143412,33.67051574,3.957821216,0,-1.56066157,-22.89833945,2.570072093,0,1.09272125,0.040619099,0.005602037,1,0.136121093,0.005659792,0.000807603,1,2,4,"2月4日,2.91041",2.67301,0.015943,0.018355,0.111835,0.107098,26776.4,26116.7,26130.3,25642.4,36027.2,35862.9,41442.4,41229.3,1.98995,1.84123,0.0673942,0,100,100,-1.205,-0.4147,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1279.7,1279.8,0.307617,2.57812,1.60278,2.26318,1.50269,2.25586,35.6613,23.8423,19,531.188,503.603,24.7746,31.5961,29.9999,31.5237,31.5198,6.15458,31.7551,56.9637,24.809,77.015,22,100.647,98.4705,NA
"9",9,1652751952,16,"20220517 09:45:52","9:45:52",2,1652751944,0.001885038,1.885038261,24.01755467,51.60403333,25.16806723,2.566402199,5.262092772,0.137914023,3.255179432,0.134748243,0.084496032,305.3990753,27.72978242,25,3.735469697,67.49685377,2.351545899,3.483934092,1.383923798,-83.13018732,-208.5084694,-13.84250613,-0.082087502,6.954262325,1.870130423,-0.226796037,64.03883287,57.20511697,0.956782153,89.12386144,1.885038261,21.95888772,23.06383147,1.94e-06,105.3543778,0,0,1,0,53937.65326,1999.992917,1681.194154,0.840600054,0.152700078,3,0.5,"0: Broadleaf",2,TRUE,1652751944,51.60403333,55.83458333,23.061025,21.9648,52.8028,23.47574167,499.9895,101.870625,0.099946521,26.54165417,27.9766875,999.9,0,0,9997.859583,774.552125,39.0567125,1999.992917,0.979999042,0.020000988,33,44861.05833,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,3.516713225,46.28859752,5.116941391,0,-2.467742095,-30.66149709,3.242396806,0,1.093821,0.052654784,0.006223288,1,0.136288584,0.007240014,0.000897929,1,2,4,"2月4日,2.91035",2.67304,0.0164975,0.0192468,0.111838,0.107097,26761.4,26092.8,26130.3,25642.2,36027.1,35862.7,41442.4,41229,1.98993,1.84125,0.0682473,0,100,100,-1.208,-0.4147,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1279.8,1279.8,0.314941,2.57935,1.60278,2.26196,1.50269,2.27539,35.6613,23.8511,19,531.171,503.633,24.781,31.5967,30,31.5237,31.5212,6.3014,31.7551,56.9637,24.809,80.3697,22,100.647,98.4697,NA
"10",10,1652751954,18,"20220517 09:45:54","9:45:54",2,1652751946,0.001881939,1.881938583,25.19437489,52.521825,27.68907563,2.823467509,5.355674143,0.13769089,3.255605338,0.134535623,0.08436223,305.3991515,27.72950993,25,3.735410238,67.50124895,2.351580066,3.483757861,1.383830172,-82.9934915,-208.6385748,-13.84925334,-0.08216811,9.267528123,1.873521455,-0.14287407,67.28471714,59.41618061,1.091754385,89.12386144,1.881938583,21.96025454,23.06321706,1.58e-05,105.3543778,0,0,1,0,53949.45066,1999.992917,1681.194145,0.84060005,0.152700117,3,0.5,"0: Broadleaf",2,TRUE,1652751946,52.521825,58.14126667,23.0613875,21.96322083,53.72242083,23.47609583,500.0102917,101.8704583,0.099991904,26.54079583,27.97384583,999.9,0,0,10000.12667,774.5214167,39.06559583,1999.992917,0.979998458,0.020001546,33,44861.05,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,5.138763657,58.07469661,6.109282741,0,-3.488724945,-37.60513964,3.800383821,0,1.09496925,0.061864953,0.006673234,1,0.136453556,0.00866987,0.00097144,1,2,4,"2月4日,2.9104",2.67297,0.017121,0.0201518,0.11184,0.107105,26744.6,26068.6,26130.4,25642.1,36027.1,35862.1,41442.4,41228.7,1.9901,1.84118,0.0675246,0,100,100,-1.213,-0.4146,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1279.8,1279.8,0.322266,2.5769,1.60278,2.26318,1.50269,2.30591,35.6613,23.8511,19,531.302,503.586,24.7921,31.5981,30.0001,31.525,31.5221,6.44951,31.7551,56.5832,24.809,83.7355,22,100.647,98.4691,NA
